request_id,subject,action,resource,phase,stable_allow,oracle_required,unsafe_candidate_allow,safe_candidate_allow,unsafe_mismatch,safe_mismatch,unsafe_required_would_deny,safe_required_would_deny
medium-2027-000001,identity_0087,action_31,resource_00287,observation,True,True,True,True,False,False,False,False
medium-2027-000002,identity_0085,action_01,resource_00385,observation,True,True,True,True,False,False,False,False
medium-2027-000003,identity_0057,action_01,resource_00257,observation,True,True,True,True,False,False,False,False
medium-2027-000004,identity_0043,action_15,resource_00143,observation,True,True,True,True,False,False,False,False
medium-2027-000005,identity_0028,action_04,resource_00228,observation,True,True,True,True,False,False,False,False
medium-2027-000006,identity_0091,action_31,resource_00191,observation,True,True,True,True,False,False,False,False
medium-2027-000007,identity_0062,action_10,resource_00362,observation,True,True,True,True,False,False,False,False
medium-2027-000008,identity_0088,action_04,resource_00388,observation,True,True,True,True,False,False,False,False
medium-2027-000009,identity_0084,action_20,resource_00084,observation,True,True,True,True,False,False,False,False
medium-2027-000010,identity_0034,action_18,resource_00434,observation,True,True,True,True,False,False,False,False
medium-2027-000011,identity_0084,action_00,resource_00384,observation,True,True,True,True,False,False,False,False
medium-2027-000012,identity_0067,action_11,resource_00267,observation,True,True,True,True,False,False,False,False
medium-2027-000013,identity_0030,action_02,resource_00130,observation,True,True,True,True,False,False,False,False
medium-2027-000014,identity_0022,action_30,resource_00222,observation,True,True,True,True,False,False,False,False
medium-2027-000015,identity_0062,action_02,resource_00162,observation,True,True,True,True,False,False,False,False
medium-2027-000016,identity_0045,action_21,resource_00245,observation,True,True,True,True,False,False,False,False
medium-2027-000017,identity_0089,action_01,resource_00289,observation,True,True,True,True,False,False,False,False
medium-2027-000018,identity_0027,action_11,resource_00427,observation,True,True,True,True,False,False,False,False
medium-2027-000019,identity_0064,action_12,resource_00364,observation,True,True,True,True,False,False,False,False
medium-2027-000020,identity_0044,action_28,resource_00444,observation,True,True,True,True,False,False,False,False
medium-2027-000021,identity_0048,action_20,resource_00148,observation,True,True,True,True,False,False,False,False
medium-2027-000022,identity_0081,action_17,resource_00081,observation,True,True,True,True,False,False,False,False
medium-2027-000023,identity_0082,action_22,resource_00182,observation,True,True,True,True,False,False,False,False
medium-2027-000024,identity_0090,action_30,resource_00190,observation,True,True,True,True,False,False,False,False
medium-2027-000025,identity_0048,action_16,resource_00048,observation,True,True,False,True,True,False,True,False
medium-2027-000026,identity_0040,action_20,resource_00340,observation,True,True,True,True,False,False,False,False
medium-2027-000027,identity_0040,action_12,resource_00140,observation,True,True,True,True,False,False,False,False
medium-2027-000028,identity_0087,action_23,resource_00087,observation,True,True,True,True,False,False,False,False
medium-2027-000029,identity_0081,action_29,resource_00381,observation,True,True,True,True,False,False,False,False
medium-2027-000030,identity_0032,action_16,resource_00432,observation,True,True,True,True,False,False,False,False
medium-2027-000031,identity_0064,action_08,resource_00264,observation,True,True,True,True,False,False,False,False
medium-2027-000032,identity_0067,action_07,resource_00167,observation,True,True,True,True,False,False,False,False
medium-2027-000033,identity_0009,action_13,resource_00109,observation,True,True,True,True,False,False,False,False
medium-2027-000034,identity_0072,action_20,resource_00372,observation,True,True,True,True,False,False,False,False
medium-2027-000035,identity_0089,action_05,resource_00389,observation,True,True,True,True,False,False,False,False
medium-2027-000036,identity_0064,action_00,resource_00064,observation,True,True,True,True,False,False,False,False
medium-2027-000037,identity_0011,action_15,resource_00111,observation,True,True,True,True,False,False,False,False
medium-2027-000038,identity_0022,action_30,resource_00222,observation,True,True,True,True,False,False,False,False
medium-2027-000039,identity_0016,action_20,resource_00116,observation,True,True,True,True,False,False,False,False
medium-2027-000040,identity_0071,action_19,resource_00371,observation,True,True,True,True,False,False,False,False
medium-2027-000041,identity_0040,action_16,resource_00240,observation,True,True,True,True,False,False,False,False
medium-2027-000042,identity_0006,action_18,resource_00306,observation,True,True,True,True,False,False,False,False
medium-2027-000043,identity_0096,action_08,resource_00296,observation,True,True,True,True,False,False,False,False
medium-2027-000044,identity_0044,action_20,resource_00244,observation,True,True,True,True,False,False,False,False
medium-2027-000045,identity_0094,action_06,resource_00294,observation,True,True,True,True,False,False,False,False
medium-2027-000046,identity_0060,action_08,resource_00360,observation,True,True,True,True,False,False,False,False
medium-2027-000047,identity_0008,action_24,resource_00408,observation,True,True,True,True,False,False,False,False
medium-2027-000048,identity_0077,action_25,resource_00377,observation,True,True,True,True,False,False,False,False
medium-2027-000049,identity_0035,action_15,resource_00335,observation,True,True,True,True,False,False,False,False
medium-2027-000050,identity_0035,action_11,resource_00235,observation,True,True,True,True,False,False,False,False
medium-2027-000051,identity_0088,action_04,resource_00388,observation,True,True,True,True,False,False,False,False
medium-2027-000052,identity_0096,action_00,resource_00096,observation,True,True,True,True,False,False,False,False
medium-2027-000053,identity_0069,action_13,resource_00269,observation,True,True,True,True,False,False,False,False
medium-2027-000054,identity_0080,action_20,resource_00180,observation,True,True,True,True,False,False,False,False
medium-2027-000055,identity_0019,action_23,resource_00119,observation,True,True,True,True,False,False,False,False
medium-2027-000056,identity_0045,action_13,resource_00045,observation,True,True,False,True,True,False,True,False
medium-2027-000057,identity_0088,action_28,resource_00188,observation,True,True,True,True,False,False,False,False
medium-2027-000058,identity_0015,action_15,resource_00015,observation,True,True,False,True,True,False,True,False
medium-2027-000059,identity_0020,action_00,resource_00320,observation,True,True,True,True,False,False,False,False
medium-2027-000060,identity_0084,action_00,resource_00384,observation,True,True,True,True,False,False,False,False
medium-2027-000061,identity_0063,action_31,resource_00063,observation,True,True,True,True,False,False,False,False
medium-2027-000062,identity_0087,action_31,resource_00287,observation,True,True,True,True,False,False,False,False
medium-2027-000063,identity_0098,action_06,resource_00198,observation,True,True,True,True,False,False,False,False
medium-2027-000064,identity_0027,action_31,resource_00127,observation,True,True,True,True,False,False,False,False
medium-2027-000065,identity_0005,action_13,resource_00205,observation,True,True,True,True,False,False,False,False
medium-2027-000066,identity_0033,action_09,resource_00233,observation,True,True,True,True,False,False,False,False
medium-2027-000067,identity_0049,action_21,resource_00149,observation,True,True,True,True,False,False,False,False
medium-2027-000068,identity_0080,action_20,resource_00180,observation,True,True,True,True,False,False,False,False
medium-2027-000069,identity_0088,action_28,resource_00188,observation,True,True,True,True,False,False,False,False
medium-2027-000070,identity_0002,action_06,resource_00102,observation,True,True,True,True,False,False,False,False
medium-2027-000071,identity_0079,action_19,resource_00179,observation,True,True,True,True,False,False,False,False
medium-2027-000072,identity_0057,action_25,resource_00057,observation,True,True,True,True,False,False,False,False
medium-2027-000073,identity_0039,action_23,resource_00439,observation,True,True,True,True,False,False,False,False
