request_id,subject,action,resource,phase,stable_allow,oracle_required,unsafe_candidate_allow,safe_candidate_allow,unsafe_mismatch,safe_mismatch,unsafe_required_would_deny,safe_required_would_deny
small-2027-000001,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000002,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000003,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000004,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000005,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000006,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000007,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000008,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000009,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000010,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000011,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000012,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000013,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000014,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000015,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000016,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000017,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000018,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000019,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000020,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000021,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000022,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000023,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000024,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000025,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000026,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000027,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000028,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000029,svc-backup,write,backup-store,observation,True,True,False,True,True,False,True,False
small-2027-000030,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000031,svc-incident,read,audit-log,observation,True,True,False,True,True,False,True,False
small-2027-000032,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000033,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000034,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000035,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000036,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000037,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000038,svc-backup,read,database,observation,True,False,True,False,False,True,False,False
small-2027-000039,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000040,svc-backup,write,backup-store,observation,True,True,False,True,True,False,True,False
small-2027-000041,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000042,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000043,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000044,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000045,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000046,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000047,svc-incident,write,ticket,observation,True,True,False,True,True,False,True,False
small-2027-000048,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000049,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000050,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000051,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000052,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000053,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000054,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000055,svc-backup,write,backup-store,observation,True,True,False,True,True,False,True,False
small-2027-000056,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000057,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000058,svc-incident,read,audit-log,observation,True,True,False,True,True,False,True,False
small-2027-000059,svc-backup,read,database,observation,True,False,True,False,False,True,False,False
small-2027-000060,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000061,svc-incident,write,ticket,observation,True,True,False,True,True,False,True,False
small-2027-000062,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000063,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000064,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000065,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000066,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000067,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000068,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000069,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000070,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000071,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000072,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000073,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000074,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000075,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000076,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000077,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000078,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000079,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000080,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000081,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000082,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000083,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000084,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000085,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000086,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2027-000087,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000088,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000089,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000090,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000091,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000092,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000093,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000094,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000095,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2027-000096,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2027-000097,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
