request_id,subject,action,resource,phase,stable_allow,oracle_required,unsafe_candidate_allow,safe_candidate_allow,unsafe_mismatch,safe_mismatch,unsafe_required_would_deny,safe_required_would_deny
large-2026-000001,identity_0558,action_30,resource_02558,observation,True,True,True,True,False,False,False,False
large-2026-000002,identity_0331,action_11,resource_00331,observation,True,True,False,True,True,False,True,False
large-2026-000003,identity_0920,action_24,resource_00920,observation,True,True,True,True,False,False,False,False
large-2026-000004,identity_0165,action_05,resource_04165,observation,True,True,True,True,False,False,False,False
large-2026-000005,identity_0779,action_27,resource_02779,observation,True,True,True,True,False,False,False,False
large-2026-000006,identity_0845,action_29,resource_02845,observation,True,True,True,True,False,False,False,False
large-2026-000007,identity_0492,action_04,resource_03492,observation,True,True,True,True,False,False,False,False
large-2026-000008,identity_0510,action_14,resource_02510,observation,True,True,True,True,False,False,False,False
large-2026-000009,identity_0902,action_22,resource_02902,observation,True,True,True,True,False,False,False,False
large-2026-000010,identity_0510,action_30,resource_00510,observation,True,True,True,True,False,False,False,False
large-2026-000011,identity_0953,action_25,resource_00953,observation,True,True,True,True,False,False,False,False
large-2026-000012,identity_0901,action_05,resource_00901,observation,True,True,True,True,False,False,False,False
large-2026-000013,identity_0837,action_29,resource_03837,observation,True,True,True,True,False,False,False,False
large-2026-000014,identity_0508,action_12,resource_02508,observation,True,True,True,True,False,False,False,False
large-2026-000015,identity_0361,action_17,resource_01361,observation,True,True,True,True,False,False,False,False
large-2026-000016,identity_0924,action_04,resource_01924,observation,True,True,True,True,False,False,False,False
large-2026-000017,identity_0475,action_27,resource_00475,observation,True,True,False,True,True,False,True,False
large-2026-000018,identity_0041,action_25,resource_02041,observation,True,True,True,True,False,False,False,False
large-2026-000019,identity_0762,action_26,resource_04762,observation,True,False,True,False,False,True,False,False
large-2026-000020,identity_0461,action_05,resource_03461,observation,True,True,True,True,False,False,False,False
large-2026-000021,identity_0783,action_31,resource_02783,observation,True,True,True,True,False,False,False,False
large-2026-000022,identity_0678,action_14,resource_01678,observation,True,True,True,True,False,False,False,False
large-2026-000023,identity_0090,action_26,resource_04090,observation,True,True,True,True,False,False,False,False
large-2026-000024,identity_0434,action_10,resource_03434,observation,True,True,True,True,False,False,False,False
large-2026-000025,identity_0601,action_25,resource_00601,observation,True,True,True,True,False,False,False,False
large-2026-000026,identity_0010,action_26,resource_02010,observation,True,True,True,True,False,False,False,False
large-2026-000027,identity_0229,action_21,resource_02229,observation,True,True,True,True,False,False,False,False
large-2026-000028,identity_0149,action_21,resource_04149,observation,True,True,True,True,False,False,False,False
large-2026-000029,identity_0541,action_13,resource_02541,observation,True,True,True,True,False,False,False,False
large-2026-000030,identity_0242,action_02,resource_02242,observation,True,True,True,True,False,False,False,False
large-2026-000031,identity_0572,action_20,resource_03572,observation,True,True,True,True,False,False,False,False
large-2026-000032,identity_0085,action_21,resource_04085,observation,True,True,True,True,False,False,False,False
large-2026-000033,identity_0255,action_31,resource_04255,observation,True,True,True,True,False,False,False,False
large-2026-000034,identity_0958,action_22,resource_03958,observation,True,True,True,True,False,False,False,False
large-2026-000035,identity_0293,action_05,resource_04293,observation,True,True,True,True,False,False,False,False
large-2026-000036,identity_0262,action_06,resource_00262,observation,True,True,False,True,True,False,True,False
large-2026-000037,identity_0603,action_27,resource_00603,observation,True,True,True,True,False,False,False,False
large-2026-000038,identity_0636,action_20,resource_03636,observation,True,True,True,True,False,False,False,False
large-2026-000039,identity_0700,action_28,resource_00700,observation,True,True,True,True,False,False,False,False
large-2026-000040,identity_0267,action_11,resource_00267,observation,True,True,False,True,True,False,True,False
large-2026-000041,identity_0920,action_24,resource_00920,observation,True,True,True,True,False,False,False,False
large-2026-000042,identity_0258,action_18,resource_02258,observation,True,True,True,True,False,False,False,False
